seed,wait_min
0,0.0
0,0.0
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.3
0,0.6
0,0.6
0,0.6
0,0.6
0,0.6
0,1.2
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.6
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.8999999999999999
0,0.0
0,0.3
0,0.3
0,0.6
0,1.2
0,0.0
0,0.0
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.0
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.6
0,0.0
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.6
0,0.6
0,0.6
0,0.6
0,0.6
0,0.3
0,0.3
0,0.3
0,0.3
0,0.6
0,0.6
0,0.6
0,0.6
0,0.0
0,0.0
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.6
0,0.0
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.3
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.6
0,0.6
0,0.6
0,0.6
0,0.0
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.0
0,0.0
0,0.3
0,0.3
0,0.6
0,0.6
0,0.6
0,0.8999999999999999
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.3
0,0.8999999999999999
0,0.0
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.6
0,0.0
0,0.3
0,0.3
0,0.3
0,0.6
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.3
0,0.6
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.6
0,0.6
0,0.0
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.3
0,0.6
0,0.0
0,0.0
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.6
0,0.6
0,0.6
0,0.6
0,0.6
0,0.0
0,0.0
0,0.0
0,0.0
0,0.3
0,0.3
0,0.3
0,0.6
0,0.6
0,0.0
