seed,n_d,wait
0,5300,1.627594190029165
0,5400,0.9089447268312624
0,5500,0.7498629292759281
0,5600,0.6705379363156677
0,5700,0.6069455649443037
0,5800,0.536199843143977
0,5900,0.5180053292729678
0,6000,0.49204868411326336
0,6100,0.4487415546811198
0,6200,0.428876710586222
0,6300,0.40218823729449765
0,6400,0.3832715168804661
0,6500,0.3633821543134287
0,6600,0.3419286565129067
0,6700,0.32783960824185904
0,6800,0.3232160963241534
0,6900,0.3077988284339117
0,7000,0.28923422082312555
0,7100,0.28313162036811956
0,7200,0.2763437327791872
0,7300,0.2658777099444009
0,7400,0.26059532470792973
0,7500,0.25257166412963583
1,5300,1.5836604145264146
1,5400,0.9918003054603329
1,5500,0.77585502155533
1,5600,0.6659976561758763
1,5700,0.6272441727654683
1,5800,0.5617974442919824
1,5900,0.526399677833072
1,6000,0.4798190667654069
1,6100,0.44882915794949574
1,6200,0.4191480549271078
1,6300,0.4023908842257438
1,6400,0.3686410006770387
1,6500,0.37379111477260296
1,6600,0.3445760817496307
1,6700,0.3295807899267277
1,6800,0.31514507386514856
1,6900,0.2993992394624285
1,7000,0.2931739457429599
1,7100,0.28551907944806354
1,7200,0.28409230703940863
1,7300,0.2640439565090481
1,7400,0.25893836159060835
1,7500,0.25368350979497273
2,5300,1.754138768927154
2,5400,1.3747691264932766
2,5500,0.7803581445069013
2,5600,0.6483129521737917
2,5700,0.6113252653613446
2,5800,0.5600871856186977
2,5900,0.532356935220463
2,6000,0.4718144176664086
2,6100,0.45696171717065803
2,6200,0.43577826601316916
2,6300,0.39637054813414196
2,6400,0.377502728707924
2,6500,0.3589356440828006
2,6600,0.3429003887575573
2,6700,0.33919238387291895
2,6800,0.32893908064229116
2,6900,0.30412387523419054
2,7000,0.29595132672860097
2,7100,0.28188322473461247
2,7200,0.2710691823896706
2,7300,0.26574754448446736
2,7400,0.25828590843430044
2,7500,0.24620893812046277
3,5300,1.6907811952934921
3,5400,1.061038009366999
3,5500,0.7569228804632946
3,5600,0.714051005914822
3,5700,0.6133618448282782
3,5800,0.5815726372942545
3,5900,0.5275541302524981
3,6000,0.48388827170290927
3,6100,0.4578733103631301
3,6200,0.42842283836074774
3,6300,0.39165215359765926
3,6400,0.39378568105876927
3,6500,0.3807848486769432
3,6600,0.343033386327181
3,6700,0.32828769948253256
3,6800,0.3193026668364993
3,6900,0.31127702416248637
3,7000,0.29381934445638014
3,7100,0.28671338294262844
3,7200,0.2806192016113432
3,7300,0.26274841302726987
3,7400,0.2563000474756127
3,7500,0.2471510152281863
4,5300,1.5229718371298795
4,5400,1.6039762630109338
4,5500,0.7986224873642771
4,5600,0.7018127144128982
4,5700,0.6054647242191835
4,5800,0.5398133401287664
4,5900,0.5262913086321493
4,6000,0.48176249522275333
4,6100,0.4635985521971014
4,6200,0.42765768056962733
4,6300,0.41008651012444197
4,6400,0.3844655556733002
4,6500,0.36267744604977514
4,6600,0.3512589355786896
4,6700,0.32795048812996597
4,6800,0.31266761586980724
4,6900,0.30129303446995986
4,7000,0.2922989651366995
4,7100,0.2894588225300256
4,7200,0.27164980035042785
4,7300,0.2607863063289356
4,7400,0.2547800549197475
4,7500,0.25065129462697283
5,5300,1.6727582908163199
5,5400,1.4102902151503913
5,5500,0.762903396802663
5,5600,0.6734965390234601
5,5700,0.5850255536628173
5,5800,0.5443601694915939
5,5900,0.530698585880075
5,6000,0.48807609521399115
5,6100,0.44665230639903003
5,6200,0.42887911948882884
5,6300,0.3959912374460002
5,6400,0.3767906665389518
5,6500,0.36987071566953106
5,6600,0.34874838084575627
5,6700,0.3282617717474867
5,6800,0.31885106157642334
5,6900,0.30876149269845055
5,7000,0.30281518783758843
5,7100,0.2789624625578734
5,7200,0.27486990734837763
5,7300,0.26394380522508404
5,7400,0.25792418772538206
5,7500,0.2473901638645438
6,5300,1.6204154346855308
6,5400,0.9810510262441113
6,5500,0.7711168764888711
6,5600,0.6552661742232635
6,5700,0.5984961370116867
6,5800,0.5565054110379694
6,5900,0.520452952793589
6,6000,0.4900226179478679
6,6100,0.45587153532244795
6,6200,0.42442895156991073
6,6300,0.3921110104936219
6,6400,0.38688797204547154
6,6500,0.3627324418234722
6,6600,0.34591085602086025
6,6700,0.3321771069285545
6,6800,0.32218754283634077
6,6900,0.2936025538704144
6,7000,0.29175916440453686
6,7100,0.28059169092324626
6,7200,0.27750410854971824
6,7300,0.2655723102370657
6,7400,0.25362391007210267
6,7500,0.2472441949474445
7,5300,1.6782446085609937
7,5400,1.22117399304422
7,5500,0.7499776443538159
7,5600,0.6818796062302869
7,5700,0.6270211370418058
7,5800,0.5544687168611534
7,5900,0.500061527363813
7,6000,0.47890079327455953
7,6100,0.4610191862982181
7,6200,0.43690512709306234
7,6300,0.3973179426242142
7,6400,0.3726381773631722
7,6500,0.37362622315361205
7,6600,0.339989590193216
7,6700,0.3347826547694167
7,6800,0.3181219354630703
7,6900,0.317053723976169
7,7000,0.28941221156556035
7,7100,0.2834377285298056
7,7200,0.2702490921829426
7,7300,0.2584048100455019
7,7400,0.25710018431006143
7,7500,0.25034302861904895
8,5300,1.7441081790842596
8,5400,0.8615466135716585
8,5500,0.7923607657226143
8,5600,0.7075317375104251
8,5700,0.6271019847974411
8,5800,0.5448122053292845
8,5900,0.500005308588277
8,6000,0.4835972382780982
8,6100,0.47645453968661877
8,6200,0.41459935184587526
8,6300,0.4099904080276613
8,6400,0.38746255702429144
8,6500,0.3749088295295082
8,6600,0.3449917130590562
8,6700,0.3326410533677862
8,6800,0.32236512777338044
8,6900,0.30660914672846357
8,7000,0.29343415007627366
8,7100,0.29243146039029555
8,7200,0.2700980236649867
8,7300,0.26774913158455627
8,7400,0.25486345407065886
8,7500,0.245893164847545
9,5300,1.6641776817488838
9,5400,1.580323860930435
9,5500,0.7895781637719612
9,5600,0.6898285714287191
9,5700,0.6169055810398506
9,5800,0.5764085214358553
9,5900,0.5268092018522572
9,6000,0.4814851610721065
9,6100,0.4487256817602054
9,6200,0.42313449449272533
9,6300,0.4194175986494246
9,6400,0.38758448988222116
9,6500,0.369248876070678
9,6600,0.3412294777107445
9,6700,0.33699134909595774
9,6800,0.3295963269674159
9,6900,0.30291505424063836
9,7000,0.30079164900350974
9,7100,0.2876333118410822
9,7200,0.2804065427978846
9,7300,0.26385707012828474
9,7400,0.26121800977938653
9,7500,0.2534800084617827
