seed,n_d,mean_total_wait_min
0,400,1.046564245810083
0,410,0.680532959326802
0,420,0.8071702769399662
0,430,0.4911415397513034
0,440,0.4812928501469282
0,450,0.3900959799693947
0,460,0.3770707778556401
0,470,0.3484732824427418
0,480,0.33749999999999664
0,490,0.30807230578169026
0,500,0.2967168262653754
0,510,0.2734879867439717
0,520,0.25960338371929875
0,530,0.24964976183803136
0,540,0.25114735969033186
0,550,0.2322712418300476
0,560,0.2119341563785847
0,570,0.21190276613577663
0,580,0.19964936886394083
0,590,0.19843663530712513
0,600,0.17596518320931065
0,610,0.18606286186930035
0,620,0.17361492046076724
0,630,0.1695670046587998
0,640,0.16781121751024922
0,650,0.15010493913529296
0,660,0.15236286919830355
0,670,0.14483623693378972
0,680,0.14590253946464546
0,690,0.14087178035663017
0,700,0.1359900373598935
0,710,0.13591046415819116
0,720,0.12926018287613694
0,730,0.12727396144446856
0,740,0.11911827045357731
0,750,0.12093087685274466
0,760,0.11414695945945533
0,770,0.11211072664359455
0,780,0.10274258666295152
0,790,0.10736619718309537
0,800,0.1000978884072136
1,400,1.2887121108215656
1,410,0.7520513182010664
1,420,0.6713875205254703
1,430,0.6631318000275704
1,440,0.4768236765318982
1,450,0.40706860706860826
1,460,0.37154426137950286
1,470,0.35758037694013245
1,480,0.3282733510712674
1,490,0.30731604765240184
1,500,0.2839665970772223
1,510,0.2585389930898127
1,520,0.2661859423130569
1,530,0.23759461732546552
1,540,0.23367490174057826
1,550,0.2275536715438091
1,560,0.2144768008917217
1,570,0.19809550881181173
1,580,0.2073244468874388
1,590,0.1866204024982523
1,600,0.1891231499580992
1,610,0.17929521652984964
1,620,0.17104565126342586
1,630,0.1737186477644379
1,640,0.16012448132779103
1,650,0.16061629379484074
1,660,0.1574071498122034
1,670,0.14323246217330696
1,680,0.1464180980309932
1,690,0.14061093686075862
1,700,0.1339120694483271
1,710,0.13244462674322544
1,720,0.12777625068718484
1,730,0.1254424778761004
1,740,0.12150123728346997
1,750,0.11654197838736022
1,760,0.11573392584362845
1,770,0.11053727613493988
1,780,0.10397847939968588
1,790,0.1050042289258501
1,800,0.10114285714285462
2,400,1.3937040632367217
2,410,0.8010457885811416
2,420,0.7295293627655358
2,430,0.6548391550462921
2,440,0.4386551097441646
2,450,0.42364781596604284
2,460,0.41127167630058387
2,470,0.3398056904927092
2,480,0.33049358616842706
2,490,0.3111111111110955
2,500,0.28294385864916777
2,510,0.2571910112359354
2,520,0.26031946195878736
2,530,0.23826623649878975
2,540,0.23642301278486305
2,550,0.22771084337347652
2,560,0.22012906769186852
2,570,0.20217934480842542
2,580,0.19892473118278156
2,590,0.19098972265238773
2,600,0.19491617827448485
2,610,0.1800417536534328
2,620,0.17156602984241
2,630,0.1683724137930928
2,640,0.15910529938058193
2,650,0.15631177633436005
2,660,0.1548083481107533
2,670,0.1494590846047073
2,680,0.14926590538335183
2,690,0.14545577495265602
2,700,0.13310152990263618
2,710,0.12909647779478706
2,720,0.12986814712004924
2,730,0.12926085147690428
2,740,0.12032874402921684
2,750,0.11703868016081617
2,760,0.11631390874106198
2,770,0.1119747899159625
2,780,0.1066515709029123
2,790,0.11128431507793785
2,800,0.10490823136818389
3,400,1.1418189368770846
3,410,0.6876681296899573
3,420,0.9176543209876628
3,430,0.5820618556701228
3,440,0.43945312500000533
3,450,0.4758748456154961
3,460,0.37888198757763925
3,470,0.35776786958339185
3,480,0.3411336810321108
3,490,0.331171463315761
3,500,0.28602015113347984
3,510,0.2956533513879338
3,520,0.25859178541490047
3,530,0.24816862474082374
3,540,0.24328710124824743
3,550,0.23678586107684219
3,560,0.21681440443211647
3,570,0.2192401628222358
3,580,0.21459133296761992
3,590,0.19029600670202532
