seed,n_d,wait
0,5300,1.6378730930798082
0,5400,1.03772307888789
0,5500,0.9295162207113412
0,5600,0.8075830283600299
0,5700,0.7345942667434295
0,5800,0.7000952169359949
0,5900,0.6447519964367098
0,6000,0.6130846384326858
0,6100,0.5835981832754894
0,6200,0.563521912350632
0,6300,0.5573266189779406
0,6400,0.5283324988548452
0,6500,0.5061351054388668
0,6600,0.4940984196162019
0,6700,0.4768536353052823
0,6800,0.4690439565070462
0,6900,0.45511721959593315
0,7000,0.44544551105838903
0,7100,0.43164720045609367
0,7200,0.4199668458970291
0,7300,0.41781795182613607
0,7400,0.4132139604818551
0,7500,0.4013474341411815
1,5300,1.6444101953614847
1,5400,1.047803960732771
1,5500,0.945621084604377
1,5600,0.8103304432312788
1,5700,0.718609617714017
1,5800,0.7137278081527578
1,5900,0.6644455510585278
1,6000,0.6178817041753384
1,6100,0.5910520607375876
1,6200,0.5758155802862391
1,6300,0.5465153506912542
1,6400,0.5385914149444005
1,6500,0.5302079259204645
1,6600,0.49700526231859754
1,6700,0.47982877693258674
1,6800,0.47122044321912904
1,6900,0.46264751479094285
1,7000,0.44094768788257427
1,7100,0.42723984300400264
1,7200,0.4298564471463373
1,7300,0.4103675527911702
1,7400,0.4112644262866746
1,7500,0.39616670215009575
2,5300,1.5264200848506562
2,5400,1.2917824933687247
2,5500,0.9234211755713891
2,5600,0.8311874741959131
2,5700,0.7476506024097712
2,5800,0.6883060028197135
2,5900,0.6623594973976696
2,6000,0.6219975840804318
2,6100,0.5973948214912082
2,6200,0.5795489215645216
2,6300,0.5475265242159607
2,6400,0.5342506158091551
2,6500,0.5008676812625414
2,6600,0.4953016930453503
2,6700,0.47617988528370975
2,6800,0.47731739428089204
2,6900,0.45222303554938814
2,7000,0.44645431418265136
2,7100,0.4316249683569775
2,7200,0.42370267372854103
2,7300,0.41220413810568896
2,7400,0.4095912250492564
2,7500,0.3980272835989468
3,5300,1.700470154706307
3,5400,1.1624346106409855
3,5500,0.949875914798508
3,5600,0.8180752908390031
3,5700,0.7547490249010287
3,5800,0.7033981663046049
3,5900,0.6693871509975533
3,6000,0.621719212292889
3,6100,0.5870430729703745
3,6200,0.5820192175558823
3,6300,0.5450398239028821
3,6400,0.5282246923551348
3,6500,0.5133416524783175
3,6600,0.48980898449052934
3,6700,0.4731314165093795
3,6800,0.46620802066017936
3,6900,0.4535482976066387
3,7000,0.4421698753285478
3,7100,0.4358131946135605
3,7200,0.42532935331765803
3,7300,0.41533099196774587
3,7400,0.4071067817246337
3,7500,0.39252628557433605
4,5300,1.6585060568131214
4,5400,1.3925135046566428
4,5500,0.9369040313196094
4,5600,0.8126968711735644
4,5700,0.7613528569156321
4,5800,0.6932355934360276
4,5900,0.6716866642000999
4,6000,0.6435400135067462
4,6100,0.5980377214708253
4,6200,0.5603341485881703
4,6300,0.5429601699416143
4,6400,0.5439655624967603
4,6500,0.5158427370694244
4,6600,0.4957249486248397
4,6700,0.47793547977388895
4,6800,0.47186896660859967
4,6900,0.4612201896369279
4,7000,0.4413641037599951
4,7100,0.43070856973482763
4,7200,0.42619406630266393
4,7300,0.4127296154704567
4,7400,0.4130474365623115
4,7500,0.4005841343612702
5,5300,1.6439281315040526
5,5400,0.9721689509894397
5,5500,0.8858528801661636
5,5600,0.8007354579898872
5,5700,0.72877645186963
5,5800,0.6999157202756849
5,5900,0.64846097491059
5,6000,0.6337650821801281
5,6100,0.6195862550370332
5,6200,0.5830487662881474
5,6300,0.5438250555967685
5,6400,0.5366369192378847
5,6500,0.5196911564194672
5,6600,0.5032033558966771
5,6700,0.4782351258883954
5,6800,0.4649974472429767
5,6900,0.45271816654508545
5,7000,0.44538624908858077
5,7100,0.43703491517860443
5,7200,0.42631311473662215
5,7300,0.41564103920827195
5,7400,0.4058327521712556
5,7500,0.3964024370925976
6,5300,1.6377264646122607
6,5400,1.3996252828798692
6,5500,0.9449231191075724
6,5600,0.8229468751980333
6,5700,0.7330436449614831
6,5800,0.6975799261241341
6,5900,0.6728735291314836
6,6000,0.6121977882024066
6,6100,0.5864863713345957
6,6200,0.5652806763491209
6,6300,0.5392714879114077
6,6400,0.5249064660001551
6,6500,0.5132912661313324
6,6600,0.492418925652226
6,6700,0.4774907003931867
6,6800,0.4710657118786378
6,6900,0.45055337644430643
6,7000,0.4442192152415462
6,7100,0.4341387422902159
6,7200,0.4248633011188827
6,7300,0.41490626910976736
6,7400,0.4057658171673072
6,7500,0.4005841010037011
7,5300,1.6815851483887507
7,5400,1.2321272825661023
7,5500,0.892499520429845
7,5600,0.8101358189082652
7,5700,0.7421506722841974
7,5800,0.6939243743659846
7,5900,0.652665353580328
7,6000,0.6439776677552764
7,6100,0.5988103399180165
7,6200,0.5651343878124623
7,6300,0.5505973993076482
7,6400,0.5339756268742588
7,6500,0.5035114908975035
7,6600,0.4971409574468167
7,6700,0.4781109636315072
7,6800,0.46566384645593933
7,6900,0.45012553099069974
7,7000,0.4459278024064807
7,7100,0.43461550688230344
7,7200,0.4239307104610237
7,7300,0.4143867575954333
7,7400,0.4018710775447481
7,7500,0.401740922784025
8,5300,1.6607455932149606
8,5400,1.014926685595788
8,5500,0.9039003560228953
8,5600,0.8819610794311853
8,5700,0.7533965211294326
8,5800,0.7085816853241063
8,5900,0.6497418738050558
8,6000,0.6376036076090782
8,6100,0.6047102827438289
8,6200,0.5822315713620163
8,6300,0.5399009565733116
8,6400,0.5263615889698767
8,6500,0.5132038094430981
8,6600,0.4923806794663424
8,6700,0.47778389772158647
8,6800,0.46387916215692815
8,6900,0.4554644808742377
8,7000,0.44079953404628536
8,7100,0.42853767057657743
8,7200,0.43198135345964167
8,7300,0.4091146941204623
8,7400,0.4026253893583984
8,7500,0.4005165344265481
9,5300,1.6617372531589198
9,5400,0.9863682831769327
9,5500,0.911482157253941
9,5600,0.8497145822523692
9,5700,0.7485022212821346
9,5800,0.690586644809041
9,5900,0.6513854064177109
9,6000,0.6217035539477258
9,6100,0.6038425769361755
9,6200,0.5668514600085002
9,6300,0.551327968446887
9,6400,0.528258516396084
9,6500,0.5082779802960825
9,6600,0.49312841935621243
9,6700,0.47686018768883504
9,6800,0.46441684665221317
9,6900,0.4507385267418517
9,7000,0.44591305825130345
9,7100,0.43302562470146244
9,7200,0.42046082263944123
9,7300,0.40931532221991473
9,7400,0.4097207815574394
9,7500,0.4005021864258801
